,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,French,English
0,1,1,1,2,2,2,2,seulement,only
1,2,2,2,5,5,5,6,demande,request
2,4,4,4,10,11,12,14,laisse,leash
3,5,5,5,11,12,13,15,eux,them
4,6,6,6,12,13,14,16,ville,city
5,7,7,7,13,14,15,17,chaque,each
6,8,8,8,14,15,16,18,parlé,speak
7,9,9,9,15,17,18,20,devrait,should
8,10,10,11,18,20,21,23,vont,will
9,11,11,12,19,21,22,24,pendant,while
10,13,13,14,21,23,25,27,place,square
11,14,14,15,22,24,26,28,parle,speak
12,15,15,16,23,27,29,31,étaient,were
13,16,16,17,24,28,30,32,attention,Warning
14,17,17,18,25,29,31,33,voici,here is
15,18,18,19,27,31,33,35,affaire,case
16,19,19,21,30,34,36,38,leurs,their
17,20,20,22,31,35,37,39,donné,given
18,21,21,23,33,37,39,41,corps,body
19,22,22,24,34,39,41,43,yeux,eyes
20,23,23,25,35,40,42,44,façon,way
21,24,24,26,36,41,43,45,écoute,listen
22,25,25,27,37,42,44,46,dont,whose
23,26,27,29,39,44,47,49,perdu,lost
24,27,28,30,40,45,48,50,main,hand
25,28,29,31,41,46,49,51,première,first
26,29,30,32,43,49,52,54,vieux,old
27,30,31,33,44,50,53,55,sois,be
28,31,32,34,45,51,54,56,tiens,here
29,32,33,35,47,54,57,59,enfant,child
30,33,34,36,48,55,58,60,point,point
31,34,35,37,49,56,59,61,venu,came
32,35,36,38,50,57,61,63,pardon,sorry
33,36,37,39,52,59,63,65,devant,in front of
34,37,38,40,53,60,64,67,minutes,minutes
35,38,39,41,54,61,65,68,demandé,request
36,39,41,43,56,63,67,71,belle,beautiful
37,40,42,44,57,64,68,72,droit,law
38,41,43,45,61,68,73,77,espère,hope
39,42,45,47,63,70,75,80,parti,left
40,43,46,48,64,71,77,82,boulot,job
41,44,48,50,67,74,80,85,terre,Earth
42,45,49,51,70,77,83,88,loin,far
43,46,50,52,71,78,84,89,fin,end
44,47,51,53,72,79,86,91,gros,large
45,48,52,54,74,81,88,94,filles,girls
46,49,53,55,75,82,89,95,jouer,to play
47,50,54,56,76,83,90,96,bureau,office
